날짜,콘텐츠유형,트래픽(TB),점유율(%)
1/4/2020,기타,1779.6,13.9
1/4/2020,총계,12757.5,100
2/4/2020,SNS,1910.7,15.5
2/4/2020,게임,298.2,2.4
2/4/2020,동영상,6537.8,53
2/4/2020,인터넷_접속,393.4,3.2
2/4/2020,다운로드,1180.9,9.6
2/4/2020,기타,2018.4,16.3
2/4/2020,총계,12339.5,100
3/4/2020,SNS,1567.3,12.4
3/4/2020,게임,294.3,2.3
3/4/2020,동영상,7377.4,58.3
3/4/2020,인터넷_접속,374.6,3
3/4/2020,다운로드,1143.8,9
3/4/2020,기타,1903.2,15
3/4/2020,총계,12660.6,100
4/4/2020,SNS,1853.3,12.6
4/4/2020,게임,411,2.8
4/4/2020,동영상,8579.2,58.4
4/4/2020,인터넷_접속,465,3.2
4/4/2020,다운로드,1187,8.1
4/4/2020,기타,2204.9,15
4/4/2020,총계,14700.3,100
1/4/2021,SNS,1835.7,12.7
1/4/2021,게임,560.8,3.9
1/4/2021,동영상,8249.6,56.9
1/4/2021,인터넷_접속,515.1,3.6
1/4/2021,다운로드,1012.6,7
1/4/2021,기타,2336.8,16.1
1/4/2021,총계,14510.6,100
2/4/2021,SNS,1955.4,12.2
2/4/2021,게임,437.2,2.7
2/4/2021,동영상,9662.7,60.2
2/4/2021,인터넷_접속,493.9,3.1
2/4/2021,다운로드,1050.3,6.5
2/4/2021,기타,2440.4,15.2
2/4/2021,총계,16039.9,100
3/4/2021,SNS,1931.3,11.3
3/4/2021,게임,544.5,3.2
3/4/2021,동영상,10464.2,61.2
3/4/2021,인터넷_접속,496.8,2.9
3/4/2021,다운로드,1400.2,8.2
3/4/2021,기타,2257,13.2
3/4/2021,총계,17094,100
4/4/2021,SNS,1847.2,10.9
4/4/2021,게임,284.9,1.7
4/4/2021,동영상,10419.4,61.7
4/4/2021,인터넷_접속,501.2,3
4/4/2021,다운로드,1519.8,9
4/4/2021,기타,2315.8,13.7
4/4/2021,총계,16888.3,100
1/4/2022,SNS,1814.3,10.7
1/4/2022,게임,418.6,2.5
1/4/2022,동영상,9682.7,57.1
1/4/2022,인터넷_접속,529.6,3.1
1/4/2022,다운로드,1698.6,10
1/4/2022,기타,2801.7,16.5
1/4/2022,총계,16945.4,100
2/4/2022,SNS,2593.4,13.1
2/4/2022,게임,537.8,2.7
2/4/2022,동영상,11795.9,59.7
2/4/2022,인터넷_접속,846.2,4.3
2/4/2022,다운로드,1308.8,6.6
2/4/2022,기타,2687.7,13.6
2/4/2022,총계,19769.8,100
3/4/2022,SNS,2741,13.3
3/4/2022,게임,662.6,3.2
3/4/2022,동영상,12272.4,59.7
3/4/2022,인터넷_접속,947.5,4.6
3/4/2022,다운로드,1390,6.8
3/4/2022,기타,2553.8,12.4
3/4/2022,총계,20567.3,100
4/4/2022,SNS,3232.8,15.3
4/4/2022,게임,714.9,3.4
4/4/2022,동영상,11814.2,56
4/4/2022,인터넷_접속,1164.5,5.5
4/4/2022,다운로드,1417.3,6.7
4/4/2022,기타,2764.1,13.1
4/4/2022,총계,21107.7,100
1/4/2023,SNS,3920.7,16
1/4/2023,게임,1065.2,4.3
1/4/2023,동영상,13842.1,56.4
1/4/2023,인터넷_접속,1111,4.5
1/4/2023,다운로드,1616.1,6.6
1/4/2023,기타,2983.2,12.2
1/4/2023,총계,24538.3,100
2/4/2023,SNS,4503.8,17.4
2/4/2023,게임,823.8,3.2
2/4/2023,동영상,14729.2,56.8
2/4/2023,인터넷_접속,1024.6,4
2/4/2023,다운로드,1605.4,6.2
2/4/2023,기타,3225.9,12.4
2/4/2023,총계,25912.8,100
3/4/2023,SNS,4632.7,18.2
3/4/2023,게임,1062.1,4.2
3/4/2023,동영상,13923.7,54.7
3/4/2023,인터넷_접속,980.5,3.9
3/4/2023,다운로드,1651.4,6.5
3/4/2023,기타,3183.6,12.5
3/4/2023,총계,25434,100
4/4/2023,SNS,5184.3,19.8
4/4/2023,게임,965.3,3.7
4/4/2023,동영상,14082.2,53.8
4/4/2023,인터넷_접속,968.3,3.7
4/4/2023,다운로드,1735.8,6.6
4/4/2023,기타,3261.8,12.5
4/4/2023,총계,26197.5,100
1/4/2024,SNS,5424.1,20.8
1/4/2024,게임,1058.6,4.1
1/4/2024,동영상,13326,51.2
1/4/2024,인터넷_접속,892.3,3.4
1/4/2024,다운로드,1747.2,6.7
1/4/2024,기타,3593.3,13.8
1/4/2024,총계,26041.5,100
2/4/2024,SNS,5186,18.9
2/4/2024,게임,939.8,3.4
2/4/2024,동영상,15133,55.2
2/4/2024,인터넷_접속,914.9,3.3
